  0x085fa9880          0 
  0x085fa99b0       7701 ToolBarStyle
  0x085fa9ae0       7916 CharRange
  0x085fa9c10          0 
  0x085fa9d40       7942 CustomizedToolMenuEntry
  0x085fa9e70       7955 CustomizedToolMenuSection
  0x085fa9fa0       7969 CustomizedToolMenuNameArray
  0x085faa0d0       7984 CustomizedToolMenu
  0x085faa200          0 
  0x085faa330       8747 GameModeName
  0x085faa460       8754 TemplateMapInfoOverride
  0x085faa590       8777 CustomFieldData
  0x085faa6c0       8800 SHAHashData
  0x085faa7f0       8807 ChunkInfoData
  0x085faa920          0 
  0x085faaa50          0 
  0x085faab80       8842 PerPlatformSettings
  0x085faacb0       8867 PlatformSettingsInstances
  0x085faade0       8881 ClosestPhysicsObjectResult
  0x085faaf10       8903 ChaosSolverConfiguration
  0x085fab040      10280 SolverTrailingFilterSettings
  0x085fab170      10311 SolverBreakingFilterSettings
  0x085fab2a0          0 
  0x085fab3d0          0 
  0x085fab500      10172 SolverCollisionData
  0x085fab630      10183 SolverBreakingData
  0x085fab760          0 
  0x085fab890      10203 RecordedFrame
  0x085fab9c0      10211 RecordedTransformTrack
  0x085fabaf0          0 
  0x085fabc20      10361 PhysicalMaterialStrength
  0x085fabd50      10583 ElementID
  0x085fabe80          0 
  0x085fabfb0      10607 VertexInstanceID
  0x085fac0e0      10616 EdgeID
  0x085fac210      10620 UVID
  0x085fac340      10623 TriangleID
  0x085fac470      10629 PolygonGroupID
  0x085fac5a0      10637 PolygonID
  0x085fac6d0      10643 BoneID
  0x085fac800      10647 UVMapSettings
  0x085fac930      10744 NetAnalyticsDataConfig
  0x085faca60      10782 StateStruct
  0x085facb90      10765 EscalationState
  0x085faccc0      10774 NetFaultState
  0x085facdf0      10829 DataflowConnection
  0x085facf20      10850 DataflowInput
  0x085fad050      10858 DataflowOutput
  0x085fad180      10866 DataflowNode
  0x085fad2b0      10894 DataflowOverrideNode
  0x085fad3e0      10905 DataflowSelection
  0x085fad510          0 
  0x085fad640      10929 DataflowVertexSelection
  0x085fad770          0 
  0x085fad8a0          0 
  0x085fad9d0          0 
  0x085fadb00      10971 PropertyPathSegment
  0x085fadc30      10993 CachedPropertyPath
  0x085fadd60      11003 PropertyPathTestInnerStruct
  0x085fade90      11018 PropertyPathTestStruct
